	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
govsize	2,539	0.201	0.201	0.0427	3.581
open	2,369	0.0286	0.0504	2.17e-06	0.472
govedu1	2,521	0.187	0.0466	0.00154	0.366
govedu	2,521	0.0361	0.0294	0.000304	0.261
govsec	2,524	0.0256	0.0738	0.000307	2.724
govsec1	2,524	0.117	0.0556	0.00119	0.761
open1	2,368	0.0472	0.112	-3.022	0.853
lngdppc	2,531	10.06	0.710	7.921	12.19
lnpop	2,510	5.661	0.838	2.104	7.080
					
